[124.831633, 45.147201]
[117.653827, 24.519197]
[111.285647, 23.482873]
[112.460033, 34.624376]
[117.023668, 25.081257]
[119.014232, 25.45996]
[112.609314, 35.072867]
[93.522785, 42.824642]
[103.723311, 27.344057]
[100.274223, 25.612206]
[87.314822, 44.016923]
[99.70948, 27.825264]
[127.535014, 50.251193]
[126.556073, 43.843512]
[106.639772, 30.461708]
[118.174807, 30.133213]
[104.404319, 31.133105]
[108.091898, 24.698828]
[112.361677, 28.559818]
[125.946506, 41.733906]
[111.618703, 26.426612]
[114.703433, 33.631958]
[116.129179, 24.294311]
[116.054141, 43.939525]
[106.24917, 36.021609]
[118.323252, 32.308165]
[112.24722, 30.340606]
[118.439561, 31.358798]
[112.250093, 32.229169]
[109.741195, 38.290886]
[100.251341, 34.477207]
[110.18743, 22.660656]
[103.217303, 35.607475]
[114.901557, 30.396522]
[112.759375, 37.692757]
[86.151584, 41.770226]
[113.549403, 22.192961]
[105.065028, 29.585836]
[116.37922, 23.555773]
[122.251207, 43.658363]
[115.821389, 32.895879]
[105.203332, 37.506058]
[117.818795, 30.950899]
[103.38215, 23.369914]
[103.802685, 25.496328]
[114.171994, 22.281089]
[107.030197, 33.07382]
[103.77193, 29.558141]
[113.933349, 35.308973]
[112.857706, 35.496081]
[107.394129, 40.749427]
[102.644524, 37.934078]
[113.135679, 29.363262]
[118.895463, 42.264586]
[126.431052, 41.94643]
[101.725262, 26.588109]
[114.878872, 30.459422]
[126.975678, 46.658789]
[131.165442, 46.652966]
[102.273965, 27.887685]
[81.330697, 43.922815]
[98.591419, 24.438031]
[114.3996, 36.103649]
[117.645742, 26.269683]
[114.422683, 27.820089]
[117.950028, 28.460864]
[104.784891, 29.345379]
[112.001082, 27.703196]
[100.23357, 26.862521]
[108.361138, 21.693439]
[116.804878, 33.96064]
[109.587145, 19.527081]
[98.863189, 25.823736]
[113.248557, 35.221493]
[123.848797, 42.292573]
[123.963595, 41.886078]
[117.88049, 31.608733]
[100.803836, 22.013792]
[98.591419, 24.438031]
[109.485727, 30.30089]
[109.745507, 28.317399]
[102.269526, 27.900601]
[102.231186, 31.905609]
[107.528663, 26.260586]
[107.990602, 26.589858]
[104.910858, 25.095974]
[100.274223, 25.612206]
[103.38215, 23.369914]
[104.221606, 23.404187]
[101.534082, 25.051226]
[99.70948, 27.825264]
[91.779601, 29.24309]
[92.0578, 31.482375]
[82.073064, 44.912168]
[103.217303, 35.607475]
[102.917605, 34.98901]
[94.909745, 36.408588]
[84.90832, 44.432645]
[115.7786, 33.8445]
[107.3647, 22.3765]
[110.3588, 19.6814]
[108.6518, 19.0953]
[109.5989, 23.1115]
[111.5666, 24.4035]
[98.2891, 39.7731]
[102.188, 38.52]
[109.2214, 23.7503]
[109.173, 18.7502]
[110.0375, 18.506]
[103.8485, 30.0754]
[110.4921, 19.2396]
[120.9605, 23.6978]
[113.3169, 30.8657]
[110.1034, 19.3517]
[110.3816, 18.8078]
[113.8259, 25.8228]
[109.5169, 18.7751]
[113.4234, 30.3608]
[104.652, 30.1246]
[117.17, 31.52]
[119.18, 26.05]
[103.51, 36.04]
[113.14, 23.08]
[108.19, 22.48]
[106.42, 26.35]
[110.2, 20.02]
[114.3, 38.02]
[113.4, 34.46]
[126.36, 45.44]
[114.17, 30.35]
[112.59, 28.12]
[118.46, 32.03]
[115.55, 28.4]
[123.25, 41.48]
[111.41, 40.48]
[106.16, 38.27]
[101.48, 36.38]
[117.0, 36.4]
[112.33, 37.54]
[108.57, 34.17]
[104.04, 30.4]
[91.08, 29.39]
[87.36, 43.45]
[102.42, 25.04]
[120.1, 30.16]
[67.709953, 33.93911]
[17.873887, -11.202692]
[20.168331, 41.153332]
[53.847818, 23.424076]
[-63.61667199999999, -38.416097]
[45.038189, 40.069099]
[69.348557, -49.280366]
[133.775136, -25.274398]
[14.550072, 47.516231]
[47.576927, 40.143105]
[29.918886, -3.373056]
[4.469936, 50.503887]
[2.315834, 9.30769]
[-1.561593, 12.238333]
[90.356331, 23.684994]
[25.48583, 42.733883]
[-77.39627999999999, 25.03428]
[17.679076, 43.915886]
[27.953389, 53.709807]
[-88.49765, 17.189877]
[-64.7505, 32.3078]
[-63.58865299999999, -16.290154]
[-51.92528, -14.235004]
[114.727669, 4.535277]
[90.433601, 27.514162]
[24.684866, -22.328474]
[20.939444, 6.611110999999999]
[-106.346771, 56.130366]
[8.227511999999999, 46.818188]
[-71.542969, -35.675147]
[104.195397, 35.86166]
[-5.547079999999999, 7.539988999999999]
[12.354722, 7.369721999999999]
[21.758664, -4.038333]
[15.827659, -0.228021]
[-74.297333, 4.570868]
[-83.753428, 9.748916999999999]
[-77.781167, 21.521757]
[33.429859, 35.126413]
[33.429859, 35.126413]
[15.472962, 49.81749199999999]
[10.451526, 51.165691]
[42.590275, 11.825138]
[9.501785, 56.26392]
[-70.162651, 18.735693]
[1.659626, 28.033886]
[-78.18340599999999, -1.831239]
[30.802498, 26.820553]
[39.782334, 15.179384]
[-3.74922, 40.46366700000001]
[25.013607, 58.595272]
[40.489673, 9.145000000000001]
[25.748151, 61.92410999999999]
[178.065032, -17.713371]
[-59.523613, -51.796253]
[2.213749, 46.227638]
[11.609444, -0.803689]
[-3.435973, 55.378051]
[-82.9000751, 32.1656221]
[-1.023194, 7.946527]
[-9.696645, 9.945587]
[-15.310139, 13.443182]
[-15.180413, 11.803749]
[10.267895, 1.650801]
[21.824312, 39.074208]
[-42.604303, 71.706936]
[-90.23075899999999, 15.783471]
[-53.125782, 3.933889]
[-58.93018, 4.860416]
[-86.241905, 15.199999]
[15.2, 45.1]
[-72.285215, 18.971187]
[19.503304, 47.162494]
[113.921327, -0.789275]
[-8.24389, 53.41291]
[53.688046, 32.427908]
[43.679291, 33.223191]
[-19.020835, 64.963051]
[34.851612, 31.046051]
[12.56738, 41.87194]
[-77.297508, 18.109581]
[36.238414, 30.585164]
[138.252924, 36.204824]
[66.923684, 48.019573]
[37.906193, -0.023559]
[74.766098, 41.20438]
[104.990963, 12.565679]
[127.766922, 35.907757]
[20.902977, 42.6026359]
[47.481766, 29.31166]
[102.495496, 19.85627]
[35.862285, 33.854721]
[-9.429499000000002, 6.428055]
[17.228331, 26.3351]
[80.77179699999999, 7.873053999999999]
[28.233608, -29.609988]
[23.881275, 55.169438]
[6.129582999999999, 49.815273]
[24.603189, 56.879635]
[-7.092619999999999, 31.791702]
[28.369885, 47.411631]
[46.869107, -18.766947]
[-102.552784, 23.634501]
[21.745275, 41.608635]
[-3.996166, 17.570692]
[95.956223, 21.913965]
[19.37439, 42.708678]
[103.846656, 46.862496]
[35.529562, -18.665695]
[-10.940835, 21.00789]
[34.301525, -13.254308]
[101.975766, 4.210484]
[18.49041, -22.95764]
[165.618042, -20.904305]
[8.081666, 17.607789]
[8.675277, 9.081999]
[-85.207229, 12.865416]
[5.291265999999999, 52.132633]
[8.468945999999999, 60.47202399999999]
[84.12400799999999, 28.394857]
[174.885971, -40.900557]
[55.923255, 21.512583]
[69.34511599999999, 30.375321]
[-80.782127, 8.537981]
[-75.015152, -9.189967]
[121.774017, 12.879721]
[143.95555, -6.314992999999999]
[19.145136, 51.919438]
[-66.590149, 18.220833]
[127.510093, 40.339852]
[-8.224454, 39.39987199999999]
[-58.443832, -23.442503]
[51.183884, 25.354826]
[24.96676, 45.943161]
[105.318756, 61.52401]
[29.873888, -1.940278]
[-12.885834, 24.215527]
[45.079162, 23.885942]
[30.217636, 12.862807]
[31.3069788, 6.876991899999999]
[-14.452362, 14.497401]
[160.156194, -9.64571]
[-11.779889, 8.460555]
[-88.89653, 13.794185]
[46.8252838, 9.411743399999999]
[46.199616, 5.152149]
[21.005859, 44.016521]
[-56.027783, 3.919305]
[19.699024, 48.669026]
[14.995463, 46.151241]
[18.643501, 60.12816100000001]
[31.465866, -26.522503]
[38.996815, 34.80207499999999]
[18.732207, 15.454166]
[0.824782, 8.619543]
[100.992541, 15.870032]
[71.276093, 38.861034]
[59.556278, 38.969719]
[125.727539, -8.874217]
-61.222503, 10.691803]
[9.537499, 33.886917]
[35.243322, 38.963745]
[34.888822, -6.369028]
[32.290275, 1.373333]
[31.16558, 48.379433]
[-55.765835, -32.522779]
[-95.712891, 37.09024]
[64.585262, 41.377491]
[-66.58973, 6.42375]
[108.277199, 14.058324]
[166.959158, -15.376706]
[35.3027226, 31.9465703]
[48.516388, 15.552727]
[22.937506, -30.559482]
[27.849332, -13.133897]
[29.154857, -19.015438]
[43.872219, -11.875001]
[106.515414, -6.10304]
[78.96288, 20.593684]
